arc|Klasa API: Arc. Właściwości (Properties): Arc, AcadObject, Annotative, Area, AutoDelete, BlockId, BlockName, Bounds, CastShadows, Center, ClassID, CloneMeForDragging, Closed, CollisionType, Color, ColorIndex, CompoundObjectTransform, Database, Drawable, DrawableType, Ecs, EdgeStyleId, EndAngle, EndParam, EndPoint, EntityColor, ExtensionDictionary, FaceStyleId, ForceAnnoAllVisible, GeometricExtents, Handle, HasFields, HasSaveVersionOverride, Hyperlinks, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPeriodic, IsPersistent, IsPlanar, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, Layer, LayerId, Length, Linetype, LinetypeId, LinetypeScale, LineWeight, Material, MaterialId, MaterialMapper, MergeStyle, Normal, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, PlotStyleName, PlotStyleNameId, Radius, ReceiveShadows, Spline, StartAngle, StartParam, StartPoint, Thickness, TotalAngle, Transparency, UndoFiler, UnmanagedObject, Visible, VisualStyleId, XData, AddContext, AddPersistentReactor, AddSubentityPaths, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteSubentityPaths, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, Draw, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Explode, ExplodeGeometry, ExplodeGeometryToOwnerSpace, Finalize, GetDistanceAtParameter, GetDistAtPoint, GetEventExtender, GetField, GetGeCurve, GetGraphicsMarkersAtSubentityPathIntPtr, GetGripPointsAtSubentityPath, GetHashCode, GetLifetimeService, GetOffsetCurves, GetOffsetCurvesGivenPlaneNormal, GetOrthoProjectedCurve, GetParameterAtDistance, GetParameterAtPoint, GetPersistentReactorIds, GetPlane, GetPointAtDist, GetPointAtParameter, GetProjectedCurve, GetReactors, GetRXClass, GetStretchPoints, GetSubentity, GetSubentityGeometricExtents, GetTransformedCopy, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, Highlight, InitializeLifetimeService, IsContentSnappable, JoinEntities, JoinEntity, List, MemberwiseClone, MoveGripPointsAtSubentityPaths, MoveStretchPointsAt, QueryX, RecordGraphicsModified, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, ReverseCurve, SaveAs, SetAttributes, SetDatabaseDefaults, SetDragStatus, SetFromStyle, SetGripStatus, SetLayerId, SetObjectIdsInFlux, SetPaperOrientation, SetPropertiesFrom, SetSubentityGripStatus, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, TransformBy, TransformSubentityPathsBy, Unhighlight, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the Arc class...
disposablewrapper|Klasa API: DisposableWrapper. Właściwości (Properties): DisposableWrapper, AutoDelete, IsDisposed, UnmanagedObject, Create, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MemberwiseClone, ToString, Equality, Inequality. Opis: Initializes a new instance of the DisposableWrapper class...
rxobject|Klasa API: RXObject. Właściwości (Properties): RXObject, AutoDelete, IsDisposed, UnmanagedObject, Clone, CompareTo, CopyFrom, Create, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetClass, GetHashCode, GetLifetimeService, GetRXClass, GetType, InitializeLifetimeService, MemberwiseClone, QueryX, ToString, X. Opis: Initializes a new instance of the RXObject class...
drawable|Klasa API: Drawable. Właściwości (Properties): Drawable, AutoDelete, Bounds, DrawableType, Id, IsDisposed, IsPersistent, UnmanagedObject, Clone, CompareTo, CopyFrom, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetRXClass, GetType, InitializeLifetimeService, MemberwiseClone, QueryX, SetAttributes, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, ToString, ViewportDraw, ViewportDrawLogicalFlags, WorldDraw, X. Opis: Initializes a new instance of the Drawable class...
dbobject|Klasa API: DBObject. Właściwości (Properties): DBObject, AcadObject, Annotative, AutoDelete, Bounds, ClassID, Database, Drawable, DrawableType, ExtensionDictionary, Handle, HasFields, HasSaveVersionOverride, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, MergeStyle, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, UndoFiler, UnmanagedObject, XData, AddContext, AddPersistentReactor, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Finalize, FromAcadObject, GetEventExtender, GetField, GetHashCode, GetLifetimeService, GetPersistentReactorIds, GetReactors, GetRXClass, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, InitializeLifetimeService, IsCustomObject, MemberwiseClone, QueryX, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, SetAttributes, SetFromStyle, SetObjectIdsInFlux, SetPaperOrientation, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the DBObject class...
entity|Klasa API: Entity. Właściwości (Properties): Entity, AcadObject, Annotative, AutoDelete, BlockId, BlockName, Bounds, CastShadows, ClassID, CloneMeForDragging, CollisionType, Color, ColorIndex, CompoundObjectTransform, Database, Description, Drawable, DrawableType, Ecs, EdgeStyleId, EntityColor, ExtensionDictionary, FaceStyleId, ForceAnnoAllVisible, GeometricExtents, Handle, HasFields, HasSaveVersionOverride, Hyperlinks, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPersistent, IsPlanar, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, Layer, LayerId, Linetype, LinetypeId, LinetypeScale, LineWeight, Material, MaterialId, MaterialMapper, MergeStyle, Name, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, PlotStyleName, PlotStyleNameId, ReceiveShadows, Transparency, UndoFiler, UnmanagedObject, Visible, VisualStyleId, XData, AddContext, AddPersistentReactor, AddSubentityPaths, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteSubentityPaths, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, Draw, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Explode, ExplodeGeometry, ExplodeGeometryToOwnerSpace, Finalize, GetEventExtender, GetField, GetGraphicsMarkersAtSubentityPathIntPtr, GetGripPointsAtSubentityPath, GetHashCode, GetLifetimeService, GetPersistentReactorIds, GetPlane, GetReactors, GetRXClass, GetStretchPoints, GetSubentity, GetSubentityGeometricExtents, GetTransformedCopy, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, Highlight, InitializeLifetimeService, IsContentSnappable, JoinEntities, JoinEntity, List, MemberwiseClone, MoveGripPointsAtSubentityPaths, MoveStretchPointsAt, QueryX, RecordGraphicsModified, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, SaveAs, SetAttributes, SetDatabaseDefaults, SetDragStatus, SetFromStyle, SetGripStatus, SetLayerId, SetObjectIdsInFlux, SetPaperOrientation, SetPropertiesFrom, SetSubentityGripStatus, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, TransformBy, TransformSubentityPathsBy, Unhighlight, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the Entity class...
curve|Klasa API: Curve. Właściwości (Properties): Curve, AcadObject, Annotative, Area, AutoDelete, BlockId, BlockName, Bounds, CastShadows, ClassID, CloneMeForDragging, Closed, CollisionType, Color, ColorIndex, CompoundObjectTransform, Database, Drawable, DrawableType, Ecs, EdgeStyleId, EndParam, EndPoint, EntityColor, ExtensionDictionary, FaceStyleId, ForceAnnoAllVisible, GeometricExtents, Handle, HasFields, HasSaveVersionOverride, Hyperlinks, Id, IsAProxy, IsCancelling, IsDisposed, IsErased, IsEraseStatusToggled, IsModified, IsModifiedGraphics, IsModifiedXData, IsNewObject, IsNotifyEnabled, IsNotifying, IsObjectIdsInFlux, IsPeriodic, IsPersistent, IsPlanar, IsReadEnabled, IsReallyClosing, IsTransactionResident, IsUndoing, IsWriteEnabled, Layer, LayerId, Linetype, LinetypeId, LinetypeScale, LineWeight, Material, MaterialId, MaterialMapper, MergeStyle, ObjectBirthVersion, ObjectId, OwnerId, PaperOrientation, PlotStyleName, PlotStyleNameId, ReceiveShadows, Spline, StartParam, StartPoint, Transparency, UndoFiler, UnmanagedObject, Visible, VisualStyleId, XData, AddContext, AddPersistentReactor, AddSubentityPaths, ApplyPartialUndo, AssertNotifyEnabled, AssertReadEnabled, AssertWriteEnabled, Audit, Cancel, Clone, Close, CloseAndPage, CompareTo, CopyFrom, CreateExtensionDictionary, CreateObjRef, DecomposeForSave, DeepClone, DeleteSubentityPaths, DeleteUnmanagedObject, DisableUndoRecording, Dispose, DowngradeOpen, DowngradeToNotify, Draw, DwgIn, DwgInFields, DwgOut, DwgOutFields, DxfIn, DxfInFields, DxfOut, DxfOutFields, Equals, Erase, Explode, ExplodeGeometry, ExplodeGeometryToOwnerSpace, Finalize, GetDistanceAtParameter, GetDistAtPoint, GetEventExtender, GetField, GetGeCurve, GetGraphicsMarkersAtSubentityPathIntPtr, GetGripPointsAtSubentityPath, GetHashCode, GetLifetimeService, GetOffsetCurves, GetOffsetCurvesGivenPlaneNormal, GetOrthoProjectedCurve, GetParameterAtDistance, GetParameterAtPoint, GetPersistentReactorIds, GetPlane, GetPointAtDist, GetPointAtParameter, GetProjectedCurve, GetReactors, GetRXClass, GetStretchPoints, GetSubentity, GetSubentityGeometricExtents, GetTransformedCopy, GetTransientReactors, GetType, GetXDataForApplication, HandOverTo, HasContext, HasPersistentReactor, Highlight, InitializeLifetimeService, IsContentSnappable, JoinEntities, JoinEntity, List, MemberwiseClone, MoveGripPointsAtSubentityPaths, MoveStretchPointsAt, QueryX, RecordGraphicsModified, ReleaseExtensionDictionary, RemoveContext, RemoveField, RemovePersistentReactor, ResetScaleDependentProperties, ReverseCurve, SaveAs, SetAttributes, SetDatabaseDefaults, SetDragStatus, SetFromStyle, SetGripStatus, SetLayerId, SetObjectIdsInFlux, SetPaperOrientation, SetPropertiesFrom, SetSubentityGripStatus, SubSetAttributes, SubViewportDraw, SubViewportDrawLogicalFlags, SubWorldDraw, SupportsCollection, SwapIdWith, SwapReferences, ToString, TransformBy, TransformSubentityPathsBy, Unhighlight, UpgradeFromNotify, UpgradeOpen, ViewportDraw, ViewportDrawLogicalFlags, WblockClone, WorldDraw, X, XDataTransformBy, Cancelled, Copied, Erased, Goodbye, Modified, ModifiedXData, ModifyUndone, ObjectClosed, OpenedForModify, Reappended, SubObjectModified, Unappended. Opis: Initializes a new instance of the Curve class...
document|Klasa API: Document. Właściwości (Properties): AcadDocument, AutoDelete, CommandInProgress, Database, Editor, GraphicsManager, IsActive, IsDisposed, IsNamedDrawing, IsReadOnly, Name, TransactionManager, UnmanagedObject, UserData, Window, CloseAndDiscard, CloseAndSave, CreateObjRef, Dispose, DowngradeDocOpen, Equals, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, LockDocument, LockMode, SendStringToExecute, ToString, UpgradeDocOpen, BeginDocumentClose, CloseAborted, CloseWillStart, CommandCancelled, CommandEnded, CommandFailed, CommandWillStart, ImpliedSelectionChanged, LispCancelled, LispEnded, LispWillStart, UnknownCommand, ViewChanged. Opis: Creates an object that contains all the relevant information required to generate a proxy used to communicate with a remote object....
documentiterator|Klasa API: DocumentIterator. Właściwości (Properties): AutoDelete, Current, IsDisposed, UnmanagedObject, CreateObjRef, Dispose, Equals, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MoveNext, Reset, ToString. Opis: Creates an object that contains all the relevant information required to generate a proxy used to communicate with a remote object....
settings|Klasa API: Settings. Właściwości (Properties): Settings, AutoDelete, IsDisposed, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, Get, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, MemberwiseClone, Register, Set, ToString, Unregister. Opis: Initializes a new instance of the Settings class...
bimassets|Klasa API: BIMAssets. Właściwości (Properties): BIMAssets, AutoDelete, DefaultFunction, HasVariableThickness, IsDisposed, Layer, ThicknessValues, UnionSection, UnmanagedObject, CreateObjRef, DeleteUnmanagedObject, Dispose, Equals, Finalize, GetHashCode, GetLifetimeService, GetType, InitializeLifetimeService, IsNull, MemberwiseClone, SetNull, ToString. Opis: Initializes a new instance of the BIMAssets class...
